Year,Goals SCORED,Goals Conceded,WIN/LOSE/DRAW,Formation,Shots,Shot on Target,Possession,Passes,Fouls,Yellow Cards,Red Cards,OffSides,Corners,RedCardsFlag
2018,3,1,Win,4.3.3,18,7,77,854,8,1,0,1,9,No
2018,4,1,Win,4.3.3,20,5,77,779,8,1,0,3,8,No
2018,2,1,Win,4.3.3,26,6,68,622,8,0,0,0,13,No
2018,3,4,Lose,4.3.3,11,4,65,667,7,3,0,3,6,No
2018,3,1,Win,4.3.3,21,9,81,799,5,0,0,4,18,No
2018,3,2,Win,4.3.3,28,6,69,646,9,2,0,3,10,No
2018,2,0,Win,4.3.3,17,7,78,659,12,1,0,3,6,No
2018,3,0,Win,4.3.3,19,10,75,695,10,1,0,0,9,No
2018,1,1,Draw,4.3.3,20,17,71,695,6,1,0,0,13,No
2018,5,1,Win,4.3.3,19,11,71,705,10,2,0,1,8,No
2018,4,0,Win,4.3.3,12,7,75,867,5,2,0,3,6,No
2018,1,0,Win,4.3.3,29,5,83,845,6,0,1,2,15,Yes
2018,3,0,Win,4.2.3.1,12,3,57,548,10,2,0,2,7,No
2018,3,0,Win,4.3.3,9,5,55,653,11,1,0,1,1,No
2018,1,0,Win,4.3.3,3,0,28,392,9,1,0,1,2,No
2018,1,2,Lose,4.3.3,7,3,78,1059,5,1,0,3,5,No
2018,2,0,Win,4.3.3,17,6,78,847,8,0,0,4,10,No
2018,3,1,Win,3.5.2,18,4,82,976,8,0,0,3,11,No
2018,0,3,Lose,4.2.3.1,11,0,66,738,10,4,0,4,8,No
2018,2,3,Lose,4.3.3,20,6,65,596,17,6,0,0,8,No
2018,1,2,Lose,4.3.3,20,3,69,646,5,2,0,8,9,No
2018,3,1,Win,4.3.3,17,6,52,511,12,4,0,1,7,No
2018,5,0,Win,4.3.3,19,12,83,1015,6,0,0,4,5,No
2018,4,1,Win,4.3.3,19,8,76,876,11,1,0,1,7,No
2018,0,0,Draw,4.3.3,15,2,80,720,9,0,0,1,10,No
2018,3,1,Win,4.3.3,19,7,74,854,5,0,0,1,4,No
2018,1,0,Win,4.3.3,13,2,70,583,10,2,0,2,12,No
2018,0,1,Lose,4.1.4.1,5,3,54,599,6,0,0,4,4,No
2018,1,2,Lose,3.5.2,8,5,47,449,12,1,0,2,2,No
