Year,Goals.SCORED,Goals.Conceded,WIN.LOSE.DRAW,Formation,Shots,Shot.on.Target,Possession,Passes,Fouls,Yellow.Cards,Red.Cards,OffSides,Corners,RedCardsFlag
2020,2,2,Draw,4.3.3,25,6,73,666,9,1,0,0,14,No
2021,0,2,Lose,4.3.3,14,3,68,654,11,2,1,2,7,Yes
2021,1,0,Win ,4.3.3,12,3,77,716,10,0,0,3,5,No
2018,3,0,Win,4.2.3.1,12,3,57,548,10,2,0,2,7,No
2022,0,0,Draw,4.3.3,14,4,69,686,9,1,0,3,7,No
2018,3,0,Win,4.1.4.1,29,7,76,714,9,1,0,5,11,No
2021,2,1,Win ,4.3.3,16,6,55,595,13,3,0,3,7,No
2021,2,0,Win,4.2.3.1,10,6,68,849,4,2,0,2,7,No
2018,3,4,Lose,4.3.3,11,4,65,667,7,3,0,3,6,No
2019,5,1,Win,4.2.3.1,15,10,56,494,15,3,1,0,7,Yes
2019,2,0,Win,4.3.3,20,6,81,820,9,2,0,4,10,No
2018,4,2,Win,4.3.3,12,3,67,650,10,2,0,3,7,No
2021,2,1,Win,4.3.3,17,5,62,710,8,0,0,1,11,No
2020,5,0,Win,4.3.3,31,10,74,722,7,1,0,0,9,No
2021,5,0,Win,4.3.3,21,11,68,725,8,2,0,1,7,No
2021,0,2,Lose,4.3.3,18,7,55,533,12,2,0,3,10,No
2021,5,0,Win,4.3.3,18,7,78,888,8,0,0,1,8,No
2018,1,2,Lose,3.5.2,8,5,47,449,12,1,0,2,2,No
2020,1,3,Lose,3.4.2.1,18,7,72,637,13,2,0,0,11,No
2019,2,2,Draw,4.3.3,24,9,77,760,6,2,0,3,10,No
2020,1,1,Draw,4.2.3.1,7,2,55,555,19,3,0,2,1,No
2018,0,3,Lose,4.2.3.1,11,0,66,738,10,4,0,4,8,No
2018,3,2,Win,4.3.3,28,6,69,646,9,2,0,3,10,No
2018,4,1,Win,4.3.3,19,8,76,876,11,1,0,1,7,No
2018,1,2,Lose,4.3.3,7,3,78,1059,5,1,0,3,5,No
2021,2,0,Win,4.1.4.1,10,5,60,579,15,0,0,5,4,No
2021,1,0,Win,4.3.3,16,6,66,726,4,0,0,2,8,No
2020,0,0,Draw,4.2.3.1,11,2,46,502,13,1,0,2,4,No
2023,1,1,Draw,3.2.4.1,7,2,42,394,11,4,0,2,2,No
2023,4,1,Win ,3.2.4.1,13,8,73,732,10,2,0,2,10,No
2019,3,0,Win,4.3.3,24,9,77,872,6,1,0,3,12,No
2021,1,0,Win,4.3.3,15,4,60,599,10,2,0,4,13,No
2021,1,2,Lose,4.3.3,29,7,72,621,12,3,0,2,9,No
2020,4,0,Win,4.2.3.1,14,6,47,490,8,2,0,3,3,No
2019,1,2,Lose,4.3.3,22,5,72,658,10,3,0,0,16,No
2018,3,1,Win,3.5.2,18,4,82,976,8,0,0,3,11,No
2019,2,3,Lose,4.3.3,12,4,67,641,7,0,0,0,4,No
2022,4,1,Win,4.3.3,19,6,61,618,9,1,0,3,11,No
2022,2,2,Draw,4.3.3,31,8,79,697,5,1,0,0,9,No
2020,2,1,Win,4.2.3.1,8,4,73,756,10,1,0,2,3,No
2019,3,1,Win,4.3.3,19,9,72,727,11,1,0,4,9,No
2021,2,0,Win,4.2.3.1,9,4,61,790,4,0,0,1,1,No
2023,0,1,Lose,4.4.2,15,5,65,556,14,3,0,1,6,No
2019,3,1,Win,4.3.3,19,9,77,824,1,0,0,1,7,No
2021,1,0,Win,4.3.3,10,5,75,805,7,0,0,0,10,No
2021,2,1,Win,4.3.3,11,6,60,677,15,2,0,1,4,No
2022,2,0,Win,4.3.3,14,2,76,833,4,1,0,1,4,No
2022,0,0,Draw,4.4.2,8,3,73,902,10,4,0,3,3,No
2018,3,0,Win,4.3.3,24,6,53,543,15,1,0,4,5,No
2018,2,1,Win,4.3.3,15,6,67,641,16,4,0,2,8,No
2021,6,1,Win,4.3.3,26,14,79,636,9,1,0,2,8,No
2019,2,1,Win,4.3.3,15,4,46,558,5,1,0,3,8,No
2018,1,1,Draw,4.3.3,20,17,71,695,6,1,0,0,13,No
2021,2,0,Win,4.3.3,15,6,75,668,8,1,0,0,6,No
2022,4,2,Win,4.2.3.1,18,5,75,770,14,1,0,2,6,No
2022,2,0,Win ,4.3.3,23,5,76,609,7,2,0,0,14,No
2020,0,1,Lose,3.2.4.1,13,4,61,718,11,2,0,2,8,No
2021,4,0,Win,4.3.3,13,6,73,747,9,0,0,0,11,No
2021,3,0,Win,4.3.3,16,6,74,791,2,1,0,2,5,No
2022,4,0,Win ,4.3.3,24,10,62,606,8,0,0,2,7,No
2022,6,3,Win ,4.3.3,22,10,54,551,3,0,0,1,5,No
2022,4,1,Win ,4.3.3,24,10,70,754,10,0,0,0,9,No
2019,3,0,Win,4.3.3,12,4,68,734,9,2,0,2,4,No
2023,4,2,Win,4.2.3.1,16,6,58,583,10,1,0,0,8,No
2019,7,0,Win,4.3.3,23,9,71,614,12,1,0,0,8,No
2018,1,0,Win,4.3.3,29,5,83,845,6,0,1,2,15,Yes
2018,4,0,Win,4.3.3,12,7,75,867,5,2,0,3,6,No
2021,1,0,Win ,4.3.3,24,10,71,746,12,3,0,1,14,No
2018,1,2,Lose,4.3.3,11,4,67,613,8,2,1,3,7,Yes
2019,6,5,Win,4.3.3,8,3,47,478,8,1,0,3,2,No
2018,2,1,Win,4.3.3,22,8,62,521,11,0,0,2,8,No
2018,3,0,Win,4.3.3,19,10,75,695,10,1,0,0,9,No
2020,3,0,Win,4.3.3,20,7,59,710,9,0,0,1,7,No
2023,3,1,Win ,3.2.4.1,12,4,71,754,8,1,0,0,6,No
2018,2,1,Win,4.1.3.2,24,8,79,767,5,0,0,2,4,No
2023,7,0,Win ,3.2.4.1,23,16,67,647,10,2,0,1,10,No
2022,3,2,Win,4.3.3,24,5,72,601,5,0,0,1,13,No
2021,0,1,Lose,4.3.3,7,1,61,609,14,2,0,1,3,No
2020,0,2,Lose,4.3.3,19,6,67,692,14,3,1,0,6,Yes
2019,6,1,Win,4.3.3,34,17,65,669,11,1,0,5,10,No
2020,6,1,Win,4.3.3,22,12,71,877,12,1,0,0,4,No
2022,4,3,Win,4.3.3,16,6,60,613,11,1,0,3,5,No
2018,0,1,Lose,4.1.4.1,5,3,54,599,6,0,0,4,4,No
2022,5,0,Win ,4.4.2,30,16,76,851,7,0,0,0,7,No
2022,3,1,Win ,4.3.3,10,4,48,446,11,1,0,0,6,No
2019,9,0,Win,4.3.3,28,14,74,818,5,0,0,5,7,No
2018,2,1,Win,4.3.3,15,7,71,714,8,1,0,6,11,No
2019,1,0,Win ,4.3.3,20,7,76,780,2,0,0,7,13,No
2021,1,0,Win,4.3.3,15,3,55,599,9,2,0,3,3,No
2021,2,3,Lose,4.3.3,8,4,37,361,11,3,1,1,3,Yes
2020,1,0,Win,4.2.3.1,11,5,52,547,11,2,0,2,6,No
2022,1,0,Win ,4.3.3,15,5,65,691,10,0,0,2,10,No
2021,5,1,Win ,4.3.3,22,9,64,629,8,1,0,4,4,No
2021,3,0,Win ,4.3.3,17,7,78,861,5,1,0,0,7,No
2019,6,0,Win,4.3.3,15,9,56,681,9,1,0,2,2,No
2020,1,0,Win,4.2.3.1,22,11,60,679,8,3,0,1,4,No
2020,0,0,Draw,4.2.3.1,18,6,68,638,13,1,0,4,11,No
2023,6,0,Win ,3.2.4.1,20,10,58,568,9,0,0,0,2,No
2021,2,1,Win ,4.2.3.1,17,7,64,611,12,0,0,0,10,No
2022,5,0,Win,4.2.3.1,21,9,72,712,6,1,0,1,8,No
2023,1,2,Lose,4.3.3,5,1,71,737,5,0,0,2,2,No
2019,7,0,Win ,4.3.3,15,11,73,788,10,2,0,2,3,No
2019,1,1,Draw,4.3.3,16,7,64,668,13,1,0,5,8,No
2018,6,1,Win,4.3.3,18,8,68,729,14,1,0,1,4,No
2018,1,0,Win,4.3.3,3,0,28,392,9,1,0,1,2,No
2021,5,0,Win,4.3.3,25,10,81,757,5,1,0,1,14,No
2021,2,0,Win,4.4.2,12,5,44,469,15,2,0,1,6,No
2023,3,1,Win ,3.2.4.1,17,9,68,620,13,1,0,1,8,No
2023,4,1,Win ,3.2.4.1,17,8,69,754,9,1,0,5,7,No
2021,4,1,Win,4.3.3,23,14,53,566,6,3,0,1,6,No
2023,2,0,Win,4.2.3.1,11,3,57,539,8,2,0,0,8,No
2023,3,0,Win,3.2.4.1,13,7,56,587,10,1,0,1,5,No
2019,1,0,Win,4.3.3,10,5,71,774,10,0,0,2,2,No
2018,2,3,Lose,4.3.3,19,5,79,733,7,0,0,2,13,No
2021,0,1,Lose,4.2.3.1,11,3,56,600,12,3,0,0,6,No
2018,6,0,Win,4.3.3,15,8,62,734,14,0,0,4,4,No
2021,4,1,Win,4.3.3,22,10,73,798,9,0,0,3,10,No
2021,4,1,Win,4.3.3,8,5,44,519,8,1,0,2,1,No
2019,1,2,Lose,4.3.3,12,4,77,767,7,3,0,5,8,No
2021,2,2,Draw,4.3.3,12,3,52,529,12,3,0,5,4,No
2019,2,0,Win,4.3.3,27,11,79,676,3,0,0,1,17,No
2021,6,3,Win,4.3.3,16,8,51,468,9,1,0,6,6,No
2020,1,0,Win,4.3.3,20,9,80,804,6,1,0,4,6,No
2021,2,0,Win ,4.3.3,16,5,68,832,12,2,0,1,9,No
2021,4,0,Win,4.1.4.1,17,8,68,721,11,0,0,4,4,No
2020,4,0,Win,4.2.3.1,20,6,71,695,6,0,0,4,6,No
2021,2,1,Win,4.2.3.1,11,5,62,704,9,0,0,1,4,No
2021,2,0,Win,4.3.3,12,4,61,678,6,2,0,3,4,No
2018,3,1,Win,4.3.3,16,6,74,786,9,0,0,2,8,No
2023,1,1,Draw,3.2.4.1,12,3,62,700,6,0,0,1,4,No
2022,3,1,Win ,4.3.3,26,9,69,698,14,3,0,1,5,No
2018,2,1,Win,4.3.3,26,6,68,622,8,0,0,0,13,No
2020,3,1,Win,4.3.3,9,6,69,637,15,5,0,0,4,No
2018,0,2,Lose,4.3.3,14,4,62,640,11,0,0,2,13,No
2021,4,1,Win,4.1.4.1,21,8,64,628,11,0,0,4,7,No
2022,2,0,Win,4.3.3,15,7,76,709,7,0,0,2,9,No
2020,1,0,Win,4.3.3,16,8,65,715,6,0,0,2,5,No
2022,0,0,Draw,4.2.3.1,14,4,59,635,6,1,1,2,8,Yes
2021,7,0,Win ,4.2.3.1,31,15,65,608,5,1,0,1,6,No
2022,1,2,Lose,4.3.3,29,6,75,622,9,2,0,2,10,No
2018,2,0,Win,4.3.3,28,8,81,850,4,0,0,0,10,No
2023,1,0,Win,3.2.4.1,8,3,54,492,9,1,0,3,0,No
